codigo_ibge,lat,lon
1100015,-11.933005,-62.003686
1100023,-9.911969,-63.033808
1100031,-13.494500,-60.542900
1100049,-11.435600,-61.451200
1100056,-13.186363,-60.811689
1100064,-13.121200,-60.543700
1100072,-13.009172,-61.127853
1100080,-12.438400,-64.229200
1100098,-11.534700,-61.016400
1100106,-10.787100,-65.340100
1100114,-10.438241,-62.461642
1100122,-10.876800,-61.957500
1100130,-9.465690,-62.256226
1100148,-11.719800,-62.317700
1100155,-10.719191,-62.255467
1100189,-11.670700,-61.188800
1100205,-9.646186,-63.959880
1100254,-11.169800,-61.904100
1100262,-9.705401,-62.898348
1100288,-11.725081,-61.554253
1100296,-11.907900,-61.784600
1100304,-12.735100,-60.134800
1100320,-11.689000,-62.715200
1100338,-10.417400,-65.332099
1100346,-11.354700,-62.284500
1100379,-12.134000,-61.858700
1100403,-9.720138,-63.317875
1100452,-10.202500,-63.834900
1100502,-11.706500,-62.000100
1100601,-10.342300,-62.901100
1100700,-10.568000,-63.620100
1100809,-8.796583,-63.700588
1100908,-11.500508,-61.887634
1100924,-12.551400,-60.899700
1100940,-9.368294,-62.582503
1101005,-10.613600,-62.734100
1101104,-9.187094,-63.188417
1101203,-11.196900,-61.517700
1101302,-11.030800,-62.674600
1101401,-10.037460,-63.333897
1101435,-10.916397,-62.555317
1101450,-12.179600,-61.604300
1101468,-13.483517,-61.046536
1101476,-11.974940,-61.376913
1101484,-11.800211,-61.473740
1101492,-12.079378,-63.567734
1101500,-11.771400,-63.036900
1101559,-10.933600,-62.255300
1101609,-10.245900,-62.349500
1101708,-11.121500,-62.375600
1101757,-9.855727,-62.176186
1101807,-10.426981,-62.133217
1200013,-10.077400,-67.050400
1200054,-10.940100,-69.567200
1200104,-11.015400,-68.750000
1200138,-9.831100,-67.952400
1200179,-10.572200,-67.675300
1200203,-7.634461,-72.666508
1200252,-11.030163,-68.738443
1200302,-8.165700,-70.354500
1200328,-9.194251,-71.949679
1200336,-7.607900,-72.906300
1200344,-8.836417,-69.257691
1200351,-8.942710,-72.790929
1200385,-10.336743,-67.184659
1200393,-8.266674,-72.742492
1200401,-9.972400,-67.810100
1200427,-7.738137,-72.653599
1200435,-9.434332,-70.493590
1200450,-10.155269,-67.737489
1200500,-9.063900,-68.656100
1200609,-8.159900,-70.764600
1200708,-10.652532,-68.505887
1200807,-9.589788,-67.532976
1300029,-3.212835,-64.807671
1300060,-3.361800,-68.200000
1300086,-3.577002,-61.405550
1300102,-3.748600,-61.660000
1300144,-7.203372,-59.884413
1300201,-4.364896,-70.191110
1300300,-3.582231,-59.130044
1300409,-0.969200,-62.926400
1300508,-2.792694,-57.070853
1300607,-4.381944,-70.024578
1300631,-3.898011,-61.375231
1300680,-2.970399,-57.588403
1300706,-8.772422,-67.336047
1300805,-4.394547,-59.588978
1300839,-3.326763,-61.213378
1300904,-6.532783,-64.387201
1301001,-4.878071,-66.897186
1301100,-3.823900,-60.362700
1301159,-3.198799,-59.824982
1301209,-4.086071,-63.142552
1301308,-3.838716,-62.059578
1301407,-6.667800,-69.865000
1301506,-7.436301,-70.023286
1301605,-2.515003,-66.104030
1301654,-7.548392,-72.588842
1301704,-7.506750,-63.021700
1301803,-7.052181,-71.692986
1301852,-3.279970,-60.184736
1301902,-3.146047,-58.447353
1301951,-6.439880,-68.245973
1302009,-2.749500,-58.022000
1302108,-1.879198,-66.998012
1302207,-3.473078,-66.064483
1302306,-2.742469,-66.768736
1302405,-7.265555,-64.796171
1302504,-3.302043,-60.620821
1302553,-3.429744,-60.459366
1302603,-3.092156,-60.060439
1302702,-7.925714,-61.564500
1302801,-1.860400,-65.591300
1302900,-3.395894,-57.718715
1303007,-2.189818,-56.712065
1303106,-3.885896,-59.090073
1303205,-2.623348,-60.942869
1303304,-5.120875,-60.379950
1303403,-2.626361,-56.734936
1303502,-7.714857,-66.999168
1303536,-2.050225,-60.027017
1303569,-2.699600,-59.699583
1303601,-0.415200,-65.019100
1303700,-3.099486,-67.946467
1303809,-0.129872,-67.087856
1303908,-3.463948,-68.948835
1303957,-2.571700,-57.871000
1304005,-2.837900,-58.208200
1304062,-4.226633,-69.936251
1304104,-5.620400,-63.188500
1304203,-3.346051,-64.708398
1304237,-2.862678,-67.776406
1304260,-2.984864,-65.160553
1304302,-2.537417,-57.761800
1304401,-3.128101,-58.157003
1400027,3.655147,-61.414679
1400050,2.992127,-61.310978
1400100,2.821184,-60.672983
1400159,3.357931,-59.831854
1400175,2.610200,-60.601000
1400209,1.827520,-61.125282
1400233,0.876300,-59.698100
1400282,2.164594,-61.054992
1400308,2.443736,-60.918206
1400407,3.879323,-59.628044
1400456,4.483200,-61.139200
1400472,0.932371,-60.425339
